,priceoff,quantity,Address,upc,zip_code,storeAddress,Store_Latitude,Store_Longitude
274,50% off,Out of Stock,"3471 W Century Blvd Inglewood, CA",190198000000,90301,3471+W+Century+Blvd+Inglewood+CA+90301,33.9483124,-118.3335923
275,25% off,Out of Stock,"735 S Figueroa St Los Angeles, CA",190198000000,90017,735+S+Figueroa+St+Los+Angeles+CA+90017,34.049209,-118.260562
276,50% off,Out of Stock,"2700 W 120th St Hawthorne, CA",190198000000,90250,2700+W+120th+St+Hawthorne+CA+90250,33.9218393,-118.3215379
277,50% off,Out of Stock,"5700 Firestone Blvd South Gate, CA",190198000000,90280,5700+Firestone+Blvd+South+Gate+CA+90280,33.9480794,-118.1684027
278,25% off,Out of Stock,"620 S Virgil Ave Ste 100 Los Angeles, CA",190198000000,90005,620+S+Virgil+Ave+Ste+100+Los+Angeles+CA+90005,34.0632903,-118.2863536
279,50% off,Out of Stock,"5600 Whittier Blvd Commerce, CA",190198000000,90022,5600+Whittier+Blvd+Commerce+CA+90022,34.0178383,-118.1508511
280,50% off,Out of Stock,"1621 S Alameda St Compton, CA",190198000000,90220,1621+S+Alameda+St+Compton+CA+90220,33.880166,-118.2196756
281,50% off,Out of Stock,"2169 W Redondo Beach Blvd Gardena, CA",190198000000,90247,2169+W+Redondo+Beach+Blvd+Gardena+CA+90247,33.8864234,-118.3156559
282,50% off,Out of Stock,"3535 S La Cienega Blvd Los Angeles, CA",190198000000,90016,3535+S+La+Cienega+Blvd+Los+Angeles+CA+90016,34.0234438,-118.3737787
283,50% off,Out of Stock,"10820 Jefferson Blvd Culver City, CA",190198000000,90230,10820+Jefferson+Blvd+Culver+City+CA+90230,33.9992941,-118.3934894
284,50% off,Out of Stock,"6000 Sepulveda Blvd Culver City, CA",190198000000,90230,6000+Sepulveda+Blvd+Culver+City+CA+90230,33.9854146,-118.3933069
285,50% off,Out of Stock,"6750 Cherry Ave Long Beach, CA",190198000000,90805,6750+Cherry+Ave+Long+Beach+CA+90805,33.8770784,-118.1662089
286,50% off,Out of Stock,"20700 S Avalon Blvd Carson, CA",190198000000,90746,20700+S+Avalon+Blvd+Carson+CA+90746,33.8439058,-118.2609355
287,50% off,Out of Stock,"10600 Firestone Blvd Norwalk, CA",190198000000,90650,10600+Firestone+Blvd+Norwalk+CA+90650,33.9260567,-118.1076167
288,50% off,Out of Stock,"7100 Santa Monica Blvd STE 201, West Hollywood, CA",190198000000,90046,7100+Santa+Monica+Blvd+STE+201+West+Hollywood+CA+90046,34.0901536,-118.3458103
289,50% off,Out of Stock,"1601 Kingsdale Ave Redondo Beach, CA",190198000000,90278,1601+Kingsdale+Ave+Redondo+Beach+CA+90278,33.8688958,-118.3577001
290,25% off,Out of Stock,"8480 Beverly Blvd Ste 1A Los Angeles, CA",190198000000,90048,8480+Beverly+Blvd+Ste+1A+Los+Angeles+CA+90048,34.07523,-118.37559
291,50% off,Out of Stock,"8800 Whittier Blvd Pico Rivera, CA",190198000000,90660,8800+Whittier+Blvd+Pico+Rivera+CA+90660,34.0006745,-118.0868458
292,50% off,Out of Stock,"1200 N Sepulveda Blvd Manhattan Beach, CA",190198000000,90266,1200+N+Sepulveda+Blvd+Manhattan+Beach+CA+90266,33.8889349,-118.3942198
293,50% off,Limited Stock,"3600 Rosemead Blvd Rosemead, CA",190198000000,91770,3600+Rosemead+Blvd+Rosemead+CA+91770,34.0739945,-118.0703835
294,50% off,Limited Stock,"15614 Whittwood Ln Whittier, CA",190198000000,90603,15614+Whittwood+Ln+Whittier+CA+90603,33.9429197,-117.9967419
295,50% off,Out of Stock,"12051 Imperial Hwy Norwalk, CA",190198000000,90650,12051+Imperial+Hwy+Norwalk+CA+90650,33.918455,-118.0755053
296,50% off,Out of Stock,"141 Lakewood Center Mall Lakewood, CA",190198000000,90712,141+Lakewood+Center+Mall+Lakewood+CA+90712,33.8524803,-118.140452
297,50% off,Out of Stock,"2120 W Main St Alhambra, CA",190198000000,91801,2120+W+Main+St+Alhambra+CA+91801,34.0913719,-118.1472857
298,50% off,Out of Stock,"11525 South St Cerritos, CA",190198000000,90703,11525+South+St+Cerritos+CA+90703,33.8593759,-118.0872116
299,25% off,Out of Stock,"10621 Carmenita Rd Santa Fe Springs, CA",190198000000,90670,10621+Carmenita+Rd+Santa+Fe+Springs+CA+90670,33.9378224,-118.0481685
300,50% off,Out of Stock,"950 E 33rd St Signal Hill, CA",190198000000,90755,950+E+33rd+St+Signal+Hill+CA+90755,33.8164505,-118.1815653
301,50% off,Out of Stock,"7530 Orangethorpe Ave Buena Park, CA",190198000000,90621,7530+Orangethorpe+Ave+Buena+Park+CA+90621,33.8570267,-118.0015911
302,50% off,Out of Stock,"2270 N Bellflower Blvd Long Beach, CA",190198000000,90815,2270+N+Bellflower+Blvd+Long+Beach+CA+90815,33.7978736,-118.1226002
303,50% off,Out of Stock,"1000 W Imperial Hwy La Habra, CA",190198000000,90631,1000+W+Imperial+Hwy+La+Habra+CA+90631,33.9160252,-117.9566738
304,25% off,Out of Stock,"20200 Bloomfield Ave Cerritos, CA",190198000000,90703,20200+Bloomfield+Ave+Cerritos+CA+90703,33.8469247,-118.0620006
305,50% off,Out of Stock,"3433 Sepulveda Blvd Torrance, CA",190198000000,90505,3433+Sepulveda+Blvd+Torrance+CA+90505,33.8270091,-118.3456469
306,50% off,Out of Stock,"651 W Sepulveda Blvd Carson, CA",190198000000,90745,651+W+Sepulveda+Blvd+Carson+CA+90745,33.80976,-118.2860988
307,50% off,Out of Stock,"1701 N Gaffey St San Pedro, CA",190198000000,90731,1701+N+Gaffey+St+San+Pedro+CA+90731,33.7605721,-118.2941372
308,25% off,Out of Stock,"4211 Eagle Rock Blvd Los Angeles, CA",190198000000,90065,4211+Eagle+Rock+Blvd+Los+Angeles+CA+90065,34.1228989,-118.2251591
309,25% off,Out of Stock,"10861 Weyburn Ave Los Angeles, CA",190198000000,90024,10861+Weyburn+Ave+Los+Angeles+CA+90024,34.062651,-118.4439421
310,25% off,Out of Stock,"5760 E 7TH ST Long Beach, CA",190198000000,90803,5760+E+7TH+ST+Long+Beach+CA+90803,33.7743479,-118.1199486
311,50% off,Out of Stock,"1893 W Malvern Ave Fullerton, CA",190198000000,92833,1893+W+Malvern+Ave+Fullerton+CA+92833,33.8798674,-117.96116
312,50% off,Out of Stock,"6835 Katella Ave Cypress, CA",190198000000,90630,6835+Katella+Ave+Cypress+CA+90630,33.8043271,-118.0133024
313,50% off,Out of Stock,"12300 Seal Beach Blvd Seal Beach, CA",190198000000,90740,12300+Seal+Beach+Blvd+Seal+Beach+CA+90740,33.7829443,-118.0694689
314,50% off,Out of Stock,"200 Westminster Mall Westminster, CA",190198000000,92683,200+Westminster+Mall+Westminster+CA+92683,33.7462486,-118.0123521
315,50% off,Out of Stock,"16400 Beach Blvd Westminster, CA",190198000000,92683,16400+Beach+Blvd+Westminster+CA+92683,33.7258348,-117.9858529
316,50% off,Limited Stock,"1050 Huntington Dr Duarte, CA",190198000000,91010,1050+Huntington+Dr+Duarte+CA+91010,34.1395301,-117.9832672
317,50% off,Out of Stock,"777 E Colorado Blvd Pasadena, CA",190198000000,91101,777+E+Colorado+Blvd+Pasadena+CA+91101,34.1464065,-118.1345552
318,50% off,Out of Stock,"2626 Colorado Blvd Los Angeles, CA",190198000000,90041,2626+Colorado+Blvd+Los+Angeles+CA+90041,34.1410828,-118.2240827
319,50% off,Out of Stock,"3121 E Colorado Blvd Pasadena, CA",190198000000,91107,3121+E+Colorado+Blvd+Pasadena+CA+91107,34.1469308,-118.0847863
320,50% off,Out of Stock,"2195 Glendale Galleria Glendale, CA",190198000000,91210,2195+Glendale+Galleria+Glendale+CA+91210,34.142998,-118.258603
321,50% off,Out of Stock,"1800 W Empire Ave Burbank, CA",190198000000,91504,1800+W+Empire+Ave+Burbank+CA+91504,34.1890295,-118.3306705
322,50% off,Out of Stock,"3100 Baldwin Park Blvd Baldwin Park, CA",190198000000,91706,3100+Baldwin+Park+Blvd+Baldwin+Park+CA+91706,34.0692425,-117.9767022
323,50% off,Out of Stock,"11051 Victory Blvd North Hollywood, CA",190198000000,91606,11051+Victory+Blvd+North+Hollywood+CA+91606,34.1885612,-118.3713959
324,25% off,Out of Stock,"1033 N Hollywood Way Burbank, CA",190198000000,91505,1033+N+Hollywood+Way+Burbank+CA+91505,34.1691285,-118.3480668
325,25% off,Out of Stock,"809 N Azusa Ave Azusa, CA",190198000000,91702,809+N+Azusa+Ave+Azusa+CA+91702,34.1364404,-117.9082398
326,50% off,Out of Stock,"9725 Laurel Canyon Blvd Pacoima, CA",190198000000,91331,9725+Laurel+Canyon+Blvd+Pacoima+CA+91331,34.245313,-118.4194137
327,25% off,Out of Stock,"10340 N Sepulveda Blvd Mission Hills, CA",190198000000,91345,10340+N+Sepulveda+Blvd+Mission+Hills+CA+91345,34.2749758,-118.468043
328,50% off,Out of Stock,"14920 Raymer St Van Nuys, CA",190198000000,91405,14920+Raymer+St+Van+Nuys+CA+91405,34.2127778,-118.4593389
329,50% off,Out of Stock,"11133 Balboa Blvd Granada Hills, CA",190198000000,91344,11133+Balboa+Blvd+Granada+Hills+CA+91344,34.2728721,-118.5036967
330,50% off,Out of Stock,"8999 Balboa Blvd Northridge, CA",190198000000,91325,8999+Balboa+Blvd+Northridge+CA+91325,34.2344351,-118.5035194
331,50% off,Out of Stock,"5711 Sepulveda Blvd Van Nuys, CA",190198000000,91411,5711+Sepulveda+Blvd+Van+Nuys+CA+91411,34.1747561,-118.4669957
332,50% off,Out of Stock,"8840 Corbin Ave Northridge, CA",190198000000,91324,8840+Corbin+Ave+Northridge+CA+91324,34.2311562,-118.5602895
333,50% off,Out of Stock,"19105 Golden Valley Rd Santa Clarita, CA",190198000000,91387,19105+Golden+Valley+Rd+Santa+Clarita+CA+91387,34.3945769,-118.4647391
