Google_Api_Query,Google_Maps,Item_Availability,Item_Discount,Item_Price,Item_Quantity,Store_Latitude,Store_Longitude,Store_Name,Store_Zip
400+Shallowford+Rd+Nw+Gainesville+GA+30504,https://maps.google.com/maps?q=400+Shallowford+Rd+Nw+Gainesville+GA+30504,In Stock,15% off,$16.88 ,21,34.2918903,-83.8504476,Walmart Supercenter #510,30504
10300+Industrial+Blvd+Ne+Covington+GA+30014,https://maps.google.com/maps?q=10300+Industrial+Blvd+Ne+Covington+GA+30014,In Stock,15% off,$16.88 ,4,33.6110906,-83.8303979,Walmart Supercenter #459,30014
955+Elbert+St+Elberton+GA+30635,https://maps.google.com/maps?q=955+Elbert+St+Elberton+GA+30635,Out of Stock,15% off,$16.88 ,0,34.0919195,-82.8457629,Walmart #1701,30635
5010+Steiner+Way+Grovetown+GA+30813,https://maps.google.com/maps?q=5010+Steiner+Way+Grovetown+GA+30813,In Stock,75% off,$5.00 ,2,33.4817488,-82.1960033,Walmart Supercenter #5735,30813
1201+Knox+Ave+North+Augusta+SC+29841,https://maps.google.com/maps?q=1201+Knox+Ave+North+Augusta+SC+29841,In Stock,15% off,$16.88 ,10,33.5013802,-81.9565501,Walmart Supercenter #1270,29841
3209+Deans+Bridge+Rd+Augusta+GA+30906,https://maps.google.com/maps?q=3209+Deans+Bridge+Rd+Augusta+GA+30906,In Stock,15% off,$16.88 ,5,33.4245572,-82.0630158,Walmart Supercenter #1293,30906
260+Bobby+Jones+Expy+Augusta+GA+30907,https://maps.google.com/maps?q=260+Bobby+Jones+Expy+Augusta+GA+30907,In Stock,15% off,$16.88 ,9,33.5048606,-82.0859917,Walmart Supercenter #1227,30907
1041+Edgefield+Rd+North+Augusta+SC+29860,https://maps.google.com/maps?q=1041+Edgefield+Rd+North+Augusta+SC+29860,In Stock,15% off,$16.88 ,4,33.5724664,-81.934897,Walmart #6576,29860
4469+Washington+Rd+Evans+GA+30809,https://maps.google.com/maps?q=4469+Washington+Rd+Evans+GA+30809,In Stock,15% off,$16.88 ,5,33.5458447,-82.142294,Walmart Supercenter #3570,30809
3581+Richland+Ave+W+Aiken+SC+29801,https://maps.google.com/maps?q=3581+Richland+Ave+W+Aiken+SC+29801,In Stock,15% off,$16.88 ,9,33.561123,-81.7674372,Walmart Supercenter #4487,29801
2035+Whiskey+Rd+Aiken+SC+29803,https://maps.google.com/maps?q=2035+Whiskey+Rd+Aiken+SC+29803,In Stock,15% off,$16.88 ,15,33.5182359,-81.7193804,Walmart Supercenter #514,29803
2205+Harrison+Rd+Se+Thomson+GA+30824,https://maps.google.com/maps?q=2205+Harrison+Rd+Se+Thomson+GA+30824,In Stock,15% off,$16.88 ,15,33.4807888,-82.5015006,Walmart Supercenter #1658,30824
115+E+Church+St+Leesville+SC+29070,https://maps.google.com/maps?q=115+E+Church+St+Leesville+SC+29070,In Stock,15% off,$16.88 ,14,33.917539,-81.5291287,Walmart Supercenter #4420,29070
1780+S+Lake+Dr+Lexington+SC+29073,https://maps.google.com/maps?q=1780+S+Lake+Dr+Lexington+SC+29073,In Stock,15% off,$16.88 ,2,33.9103939,-81.2302157,Walmart Supercenter #4521,29073
3338+Wrightsboro+Road+Augusta+GA+30909,https://maps.google.com/maps?q=3338+Wrightsboro+Road+Augusta+GA+30909,Out of Stock,55% off,$9.00 ,0,33.4667884,-82.0701647,Walmart #4144,30909
1500+N+Liberty+St+Waynesboro+GA+30830,https://maps.google.com/maps?q=1500+N+Liberty+St+Waynesboro+GA+30830,Out of Stock,75% off,$5.00 ,0,33.107388,-82.025055,Walmart Supercenter #2754,30830
300+Bypass+25+Ne+Greenwood+SC+29646,https://maps.google.com/maps?q=300+Bypass+25+Ne+Greenwood+SC+29646,Out of Stock,75% off,$5.00 ,0,34.1979216,-82.1327547,Walmart #6887,29646
11391+Dunbarton+Blvd+Barnwell+SC+29812,https://maps.google.com/maps?q=11391+Dunbarton+Blvd+Barnwell+SC+29812,Out of Stock,15% off,$16.88 ,0,33.238349,-81.3920063,Walmart Supercenter #795,29812
6020+Harrison+Rd+Macon+GA+31206,https://maps.google.com/maps?q=6020+Harrison+Rd+Macon+GA+31206,In Stock,15% off,$16.88 ,4,32.8096555,-83.7179211,Walmart Supercenter #1153,31206
5955+Zebulon+Rd+Macon+GA+31210,https://maps.google.com/maps?q=5955+Zebulon+Rd+Macon+GA+31210,In Stock,15% off,$16.88 ,6,32.8830479,-83.7600785,Walmart Supercenter #2890,31210
2720+Watson+Blvd+Warner+Robins+GA+31093,https://maps.google.com/maps?q=2720+Watson+Blvd+Warner+Robins+GA+31093,In Stock,15% off,$16.88 ,4,32.6214516,-83.6730726,Walmart Supercenter #1367,31093
502+Booth+Rd+Warner+Robins+GA+31088,https://maps.google.com/maps?q=502+Booth+Rd+Warner+Robins+GA+31088,In Stock,15% off,$16.88 ,11,32.5900576,-83.6123929,Walmart Supercenter #3750,31088
180+N+Lee+St+Forsyth+GA+31029,https://maps.google.com/maps?q=180+N+Lee+St+Forsyth+GA+31029,In Stock,15% off,$16.88 ,4,33.0423229,-83.9431661,Walmart Supercenter #907,31029
201+Walmart+Dr+Eatonton+GA+31024,https://maps.google.com/maps?q=201+Walmart+Dr+Eatonton+GA+31024,Limited Stock,75% off,$5.00 ,0,33.2954333,-83.3886866,Walmart Supercenter #5482,31024
2592+N+Columbia+St+Milledgeville+GA+31061,https://maps.google.com/maps?q=2592+N+Columbia+St+Milledgeville+GA+31061,In Stock,15% off,$16.88 ,4,33.1159792,-83.2656536,Walmart Supercenter #1121,31061
